id,handle,inventory_total,inventory_cpt,inventory_jhb,name,variant_parent_id,has_variants,source_id,variant_source_id,tags,price
0149179b-4868-4874-e333-85615358eb59,sleepingbagsummerjersey70cm,6,3,3,Sleeping Bag Summer Jersey 70 cm / Snake  Pale Pink,,true,6039702569135,37389959757999,"sleeping bags, Jollein, More, FX_recent_sale, FX_incoming_stock, FX_incoming_count__6, FX_incoming_name__MARCH CONTAINER",364.34783
014d7d89-7685-fd98-f76e-fbc8f90df85f,salopette5056,2,2,0,Jumper Pretty Knit 50 / 56 / Blush Pink,9777c7d2-45fb-f943-970c-2aafc2c6aa52,false,6114372354223,37694271389871,"Jollein, More, FX_recent_sale, FX_incoming_stock, FX_incoming_count__6, FX_incoming_name__MARCH CONTAINER, clothing",303.47826
014fc7f9-6397-be26-7917-46643bd6ac11,bathcapewitlofforkids,1,1,0,Bath Cape Witlof for Kids / Moon Black-White,8f07d341-042f-bbb6-67cb-b679441e6812,false,3752007532604,28912568991804,"hooded towels, new, baby & bath, Witlof",573.04348
0150c15c-8301-ac88-5af8-456db0081340,dollevi,5,4,1,Doll Evi,,false,6172465954991,37899558420655,"toys, soft toys, More, FX_recent_sale, Little Dutch",303.47826
01534203-7bfb-fae7-4b98-246d8bb282f5,MeycoSummerSleepingBag70cm,0,0,0,Meyco Summer Sleeping Bag 70 cm / Light Grey,37686bb4-0650-7046-6b30-7134f4d24f96,false,6114751086767,37695472795823,"linen, sleeping bags, FX_recent_sale, Meyco",260
0159d96d-8261-dc4d-a706-583e06c9fc58,stokkestrollerseatxpv6trailz,0,0,0,Stokke Stroller Seat (XP V6 & Trailz) / Deep Blue,8b34d200-70c1-d372-4b3f-900f1ab7eef4,false,,,Not On Shopify,6520.86957
016ac08f-57a7-b3ea-f470-66317cbcdd8a,nursingpillowdreamydots,1,0,1,Nursing Pillow Dreamy Dots / Powder,,true,3749541445692,28894347165756,"feeding, cushions, FX_recent_sale, done by deer",946.95652
017cdb66-514c-1ee0-9843-b26b70f23c06,bugaboofox2suncanopy,1,1,0,Bugaboo Fox2 Sun Canopy / Red,ff1da749-027e-44ee-d743-979434455784,false,4601204408380,32354351120444,"Bugaboo, prams & stroller accessories, popular brands, other prams & stroller accessories, FX_recent_sale, Bugaboo Fox 2, Fx_backorder, Fox",1955.65217
018108ef-4969-7178-5233-cdeee5911e9d,roly-polyfox,0,0,0,Roly-Poly Fox / Cool Grey,,true,,,,390.43478
01a2f871-05c8-bac9-7acc-54a89290bc96,BugabooBuffaloRunnerSquareWhiteButton,0,0,0,Bugaboo Buffalo/Runner Square White Button,,false,,,Not On Shopify,1739.13043
01c83291-fda6-d067-e187-7ff855ed70ed,ldbibwithsnaps,0,0,0,LD Bib With Snaps / Pure Mint,7aafe6f0-fd1d-df80-ca73-5f5db3f5be0e,false,6111736037551_unpub,37684513210543_unpub,"feeding, bibs & burp cloths, FX_recent_sale, FX_incoming_stock, FX_incoming_count__3, FX_incoming_name__December Container, Little Dutch, feeding essentials",181.73913
01d51588-8f18-78e5-569f-b76067c3f882,bugaboodonkey3base,1,0,1,Bugaboo Donkey3 Base / Black,6e5e9e21-6d3b-a216-8b4f-5a8a06406645,false,4611916333116,32392468529212,"Custom Builder, FX_recent_sale, FX_needs_variant_image",16869.56522
01f4b98f-0b12-243b-2380-b6e48c5cddf1,babybjrnbabycarrieroneair,0,0,0,BabyBjörn Baby Carrier One Air / Pearly Pink,0a4735cc-4962-11e7-fc9e-be19b39b6839,false,6114267922607_unpub,37693996368047_unpub,"carriers & slings, new, BabyBjorn, Baby Bjorn",3216.52174
020c1e26-3795-482c-4d9c-ecc40c73710a,ikealatttable,0,0,0,Ikea Latt Table,,false,,,,434.78261
